date of status	status	кол-во листов	#	ОФ	НФ	/	Место хранения		Код СС	Наименование документа	полнота	подлин.	способ воспроизв.	дата документа	примечания	дата сост. Архива	Автор: не Котс А.Ф.
3/17/2013	docbook		11	10141		630	11	of-10141-630	1.1	"""Дарвинизм в свете Бэкона и Декарта"" . [Лекция VII] . Текст лекции ."	полная	копия	машинопись	[1939]	"1 фото (""Р.Декарт со скульптуры В. Домогацкого в ГДМ"") ; Т. IV , гл. 17"	февраль 1998 г.	
12/31/2015	ocr	2 лл.(1 конв)	12	10141		86	12	of-10141-86	1.1	"Из цикла лекций для педагогов ""Эволюционное учение и дарвинизм"". Лекция VIII : ""Всё ли приспособлено в живой природе ?"" . Текст лекции ."	неполная	копия	машинопись	1939 осень	"черновик ; Т. IV , гл. 11"	февраль 1998 г.	
7/21/2013	docbook	49	13	10141		79	13	of-10141-79	1.1	"""Эволюционное учение и дарвинизм"" . (Краткий очерк в индуктивном и недогматичном изложении)."	полная	копия	машинопись	[1939]	"Т. IV , гл. 3"	февраль 1998 г.	
10/16/2013	docbook	2 лл.	14	10141		88	14	of-10141-88	1.1	"""Чарльз Дарвин и происхождение видов"" . Публичная лекция в Ленинской Аудитории 13 ноября 1939 года . Текст лекции ."	полная	копия	машинопись	1939 нояб.13	"Т. IV , гл. 13"	февраль 1998 г.	
7/1/2011	scanned	8	440	10141		2	419	of-10141-2	1.4	"1.)""Принцип экспозиции естественно-научных музеев /преимущественно биологических музеев/"". Тезисы . 2.) ""О принципах экспозиции в естественно-научных музеях . Тезисы доклада"". (возм. редакция ; неполная)."		копия	машинопись	б/г	во втором экз. нет последних лл.	май 1998 г.	
3/17/2013	docbook	75	16	10141		38	16	of-10141-38	1.1	"""К теории и практике работы лектора и педагога"" (Молодые мысли старого учёного) . Рукопись статьи ."	полная	копия	машинопись	1943 весна	Т. II ; 1 экз. основной + 2 экз.- вспомогательные - 33 лл. и 36 лл.	февраль 1998 г.	
3/17/2013	docbook	47	17	10141		92	17	of-10141-92	1.1	"""Наука и учёные в произведениях и письмах Чехова"". Текст доклада . Тезисы доклада ."	полная	копия	машинопись	1944 июня 16	"правки в тексте; Т.V, гл.2; 1 экз. основной + 2 экз. дубликаты по 44 лл. в каждом экз."	февраль 1998 г.	
5/12/2013	docbook	33	18	10141		93	18	of-10141-93	1.1	"""Дарвин и Чехов"" (Дарвинизм и ""расизм"" в отражении чеховского творчества) . Текст доклада . /Посвящается О.Л. Книппер-Чеховой/. Прочитанный в МГУ в ""Чеховские дни"", в 1954 г."	полная	копия	машинопись	1944 июля 4	"Т. V , гл. 3 ;1 экз. основной + 1 экз. дубликат - 30 лл."	февраль 1998 г.	
11/20/2011	scanned	14	2		6912	1	2	nvf-6912-1	1.1	"""Комуфлетная окраска"" . Очерк ."	полная	копия	машинопись	б/г	"черновик , правки в тексте ."	февраль 1998 г.	
11/20/2011	scanned	2	4		6912	2	4	nvf-6912-2	1.1	"Перечень цикла лекций проф. А.Ф. Котса для учащихся 7, 8 и 9 классов на тему : ""Эволюционное учение и дарвинизм"" , прочитанных в клубе ""Каучук"" . Краткое содержание лекций ."	полная	копия	машинопись	1938 нояб.-дек.		февраль 1998 г.	
11/22/2011	scanned		212	10141		466	203	of-10141-466	1.2(А)	"""Музей имени Дарвина в борьбе за национальную культуру"". Рукопись статьи ."	полная	оригинал	машинопись	1963 марта 6	Т. VI ; 1 экз.основной + 2 экз. дубликаты (20 лл.; 24 лл.)	март 1998 г.	
11/22/2011	scanned	2 лл.	213		2116	618	203	nvf-2116-618	1.2(В)	"""Музей имени Дарвина в борьбе за национальную культуру"". Рукопись статьи ."	полная	оригинал	машинопись	1963 марта 3	Т.VI		
12/1/2011	scanned	8	50	12430		9	48	of-12430-9	1.1	"""От автора"". (К сборнику ""К столетию дарвинизма"") . Пояснение к статьям , вошедшим в сборник . /2 редакции/ ."	полная	копия	машинопись	1958 мая 19		февраль 1998 г.	
10/16/2013	docbook		24	10141		631	22	of-10141-631	1.1	"""Томас Генри Гексли . К полустолетию дня смерти (29.06.1985 - 29.06.1945)"". Текст лекции ."	полная	копия	машинопись	1945 июня 29	"Т. IV, гл.18; 1 экз. основной+2 экз. по 4 лл. в каждом экз./один из которых на англ.яз./"	февраль 1998 г.	
12/1/2011	scanned	26 лл.	55	12430		11	53	of-12430-11	1.1	"Содержание сборника ""К столетию дарвинизма (1859-1959)""."	полная	копия	машинопись	[1958]		февраль 1998 г.	
12/1/2011	scanned	14 лл.	102		6912	8	99	nvf-6912-8	1.1	"Перечень лекций проф. А.Ф. Котс , прочитанных им в Клубе ""Каучук"" в рамках темы : ""Учение Дарвина о происхождении живой природы"" ."	полная	копия	машинопись	б/г		март 1998 г.	
12/1/2011	scanned	125 лл.+ 1 л.	108		2116	415	105	nvf-2116-415	1.1	"""Краткое резюме печатных научных работ основателя и д-ра ДМ в Москве проф. А.Ф. Котс"" ."	полная	оригинал+копия	машинопись	б/г	2 экз.	март 1998 г.	
5/12/2013	docbook	24 лл.	28	10141		45	26	of-10141-45	1.1	"""Школьный формализм на анализе и критике одной ""педагогической"" газетной повести (""Пионерская правда"" , номер  82 от 15 окт. 1946 г.)"". Рукопись статьи ."	полная	копия	машинопись	[1946]	Т. II ; 1 экз. основной + 1 экз. дубликат - 14 лл.	февраль 1998 г.	
12/1/2011	scanned	1 л.	183	12430		34	174	of-12430-34	1.2	"""ГДМ в Москве . К 20-ой годовщине Октября"". Очерк ."	полная	копия	машинопись	[1937]	"1 экз.основной + 1 экз.дубликат-неполный, нет 4,6-7 лл. Не подошел для публикации."	март 1998 г.	
12/2/2011	docbook	6 лл.	69	10141		44	67	of-10141-44	1.1(А)	"""Школьно-учебный формализм"" (О его симптомах , диагнозах , профилактике и терапии). Текст доклада .+ Десять заповедей для борьбы со школьным формализмом ."	полная	оригинал+копия	машинопись	б/г	Т. II ;	февраль 1998 г.	
12/2/2011	docbook	25	456	10141		3	433	of-10141-3	1.4	"""Проблема зрителя в музеях массового типа . /Об этикетаже/""."	полная	копия	машинопись	б/г	"Т. I ; 1 экз.основной + 2 экз.,дубликаты по 23 лл. в каждом экз."	май 1998 г.	
12/2/2011	docbook	1 л.	732	10141		105	707	of-10141-105	2.3	"""О боевом коне"". /Очерки по истории конницы/ . Из цикла лекций ,читанных в Военном Госпитале Военной Академии им. Фрунзе в Москве в дни ВОВ ,1941-1943 гг."	полная	копия	машинопись	[1941-1943]	"Т. V ; 1 экз.основной + 2 экз.дубликаты по 25 лл. в каждом экз. + 1 экз.редакция, 20 лл."	август 1998 г.	
12/6/2011	scanned	34 лл.	53	12430		10	51	of-12430-10	1.1	"""К столетию дарвинизма (1809-1859-1959)"". Очерк ."	полная	оригинал	машинопись	1958 янв.12		февраль 1998 г.	
12/6/2011	scanned	5	129	12430		25	123	of-12430-25	1.1	""" ... О реальности угрозы вымирания профессии ""препараторов- таксидермистов"" в музейной области"" . Перечень мотивов в подтверждение ходатайства об учреждении трёх должностей препар.-таксидермистов ."	полная	копия	машинопись	б/г	1экз. основной + 2 экз.~ редакция и дубликат  по 2 лл. в каждом экз.	март 1998 г.	
12/6/2011	scanned	125 лл.	155		2116	257	147	nvf-2116-257	1.1	"""Комуфлетная окраска"" . Рукопись статьи . Черновик ."	перепутаны лл.	копия	машинопись	б/г	ручная правка в тексте	март 1998 г.	
4/14/2013	docbook	22	36	10141		477	34	of-10141-477	1.1	"""Русский кречет в свете дарвинизма"". Рукопись статьи ."	полная	копия	машинопись	1948	"Т. VI , гл. 16 ; опубл.:""Охрана природы"". - ном. 6 .- 1948 .- с.66-79."	февраль 1998 г.	
7/21/2013	docbook	43 лл.	37	10141		49	35	of-10141-49	1.1	Послесловие к лекции для молодёжи (учащимся 9-х классов) .	полная	копия	машинопись	1948-1949	"Т. II , гл 16 ; 1 экз. основной + 1 экз. дубликат 10 лл."	февраль 1998 г.	
10/18/2013	docbook	37	38	10141		193;478	36	of-10141-193;478	1.1	"""Об украшающих окрасках и о половом подборе"". Рукопись статьи . Приложение к статье ."	полная	копия	машинопись	1949	"2 экз.,Т. VI , гл. 18"	февраль 1998 г.	
12/11/2011	docbook	51 лл.+ 30 лл.	391	10141		8	379	of-10141-8	1.4 **	"""Об ударных методах музейной экспозиции"". Доклад на I - ом Музейном съезде . Тезисы к докладу ."	полная	оригинал	машинопись	[дек. 1930]	"на обложке подпись Котса , датированная 20/III- 48 ; Т. I; 1 экз.основной+ 2 экз. по 30лл."	май 1998 г.	
4/14/2013	docbook	7	40	10141		107	38	of-10141-107	1.1	"""Слово старого учёного в защиту мира"". Речь , произнесённая 20 августа 1950 года в Останкинском парке культуры и отдыха."	полная	оригинал	машинопись	1950 авг.20	Т. V ; 1 экз. основной + 2 экз. дубликаты по 5 лл. в каждом экз.	февраль 1998 г.	
12/11/2011	docbook	75 лл.	414	10141		5	396	of-10141-5	1.4	"""К вопросу о музейных кадрах"". Аналитические заметки ."	полная	оригинал	машинопись	[до 1948]	"Т. I ; 1 экз. основной + 2 экз., дубликаты по 22 лл. в каждом экз. ОПУБЛИКОВАН"	май 1998 г.	
4/14/2013	docbook	109	42	10141		479	40	of-10141-479	1.1	"""О колибри в свете дарвинизма"". Рукопись статьи ."	полная	копия	машинопись	1950	"правки в тексте ; Т. VI , гл. 20"	февраль 1998 г.	
12/11/2011	docbook	30 лл.	447	10141		4	426	of-10141-4	1.4(А)	"""О мировозренческой тематике музеев массового типа , о критериях и формах её подлинного усвоения"". Доклад ."	полная	копия	машинопись	б/г	Т. I	май 1998 г.	
7/22/2015	ocr	431	44	10141		461	42	of-10141-461	1.1	"""Проблема вида в свете учения о прямом влиянии среды на изменчивости тетеревиных птиц"". Научное исследование . /Работа удостоена высшей премии МОИП/."	полная	оригинал	машинопись	1951 июня 27	"нумерация 1-419 лл.,нет 43,404,405 лл.;посвящение П.Сушкину и Ф.Лоренцу; с.326-380 в ст.ф."	февраль 1998 г.	
12/13/2011	scanned	1 л.	143		6912	13	136	nvf-6912-13	1.1	Перечень иллюстраций к некоторым лекциям и очеркам А.Ф. Котса .	полная	копия (черновик)	машинопись	б/г		март 1998 г.	
12/20/2011	scanned	122	3		2116	503	3	nvf-2116-503	1.1	"""Лекции по анатомии прог. проф. А.Ф. Котса"" ."	2 тетради	оригинал	рукопись	1921-1922	"на обложке надпись - ""Эд. Плорин""."	февраль 1998 г.	
12/20/2011	scanned	15	26	12430		3	24	of-12430-3	1.1	"""Об аналогичной изменяемости (Дарвин) оперения домашних кур и выродков тетеревиных птиц"". (К проблеме о взаимной связи дарвинизма и генетики). Памяти Томаса Гексли , к пятидесят. со дня его кончины (29.06.1895-29.06.1945). Очерк ."	полная	копия	машинопись	[1945]	"исправления в тексте ; Т. VI , гл. 9"	февраль 1998 г.	
12/14/2013	docbook		48	10141		471	46	of-10141-471	1.1	"""Проблема вида в свете таксонимики и видового дихроматизма  птиц"". Текст доклада . Основные тезисы доклада . Иллюстрации ."	полная	оригинал	машинопись	1955 июня 29	6 фото ; Т. VI ; 1 экз. основной + 3 экз. редакции (21 лл.; 23 лл.; 24 лл.)	февраль 1998 г.	
12/20/2011	scanned	6 лл.	56	12430		12	54	of-12430-12	1.1	Речь на открытии 2-ой Всесоюзной Орнитологической конференции в Москве 18.VIII.59 .	полная	копия	машинопись	1959 авг.18	1 экз.основной + 1 экз. редакция 2 лл.	февраль 1998 г.	
12/20/2011	scanned	35 лл.	62		2116	617	60	nvf-2116-617	1.1	"""К восьмидесятилетию со дня кончины Чарльза Дарвина"". Очерк ."	неполная	копия	машинопись	1962 апрель	"2 экз. : 1 экз. на русском яз., 1 экз. на англ.яз."	февраль 1998 г.	
10/18/2013	docbook	11	51		2116	475	49	nvf-2116-475	1.1	"""К столетию дарвинизма (1858-1958)"". Очерк ."	полная	копия	машинопись	[1958]		февраль 1998 г.	
12/20/2011	scanned	2 лл.	132		2116	341	125	nvf-2116-341	1.1(В)	"""К столетию первого очерка теории Дарвина , 1842-1942 . /О первом писанном эскизе ""Происхождение видов""/"". Речь на торжественном заседании МОИП в июле 1942 года ."	полная	копия	машинопись	1942 июня 20	"2 экз. редакции,черновики"		
12/21/2011	docbook	37	19	10141		42	19	of-10141-42	1.1(А)	"""Война и школа"" (Как методически связать арену боя с классной комнатой ?) . Речь на Конференции педагогов Свердловского р-на г.Москвы 6 января 1945 года . Тезисы ."	полная	копия+оригинал	машинопись	1944 август	Т. II ; 1 экз. основной + 1 экз. дубликат - 33 лл.	февраль 1998 г.	
10/18/2013	docbook	38	54	10141		475	52	of-10141-475	1.1	"""О теории Дарвина в свете современной генетики , фаунистики и систематики"". Рукопись статьи ."	полная	копия	машинопись	1958 август	"Т. VI , гл. 10 ; 1 экз.основной + 2 экз. редакции (36 лл.; 37 лл.)"	февраль 1998 г.	
12/21/2011	docbook	26 лл.	20		2116	338	19	nvf-2116-338	1.1(В)	"""Война и школа"" (Как методически связать арену боя с классной комнатой ?) . Речь на Конференции педагогов Свердловского р-на г.Москвы 6 января 1945 года ."	полная ?	копия	машинопись	1944 август	Т. II ; 1 экз. основной + 1 экз. редакция - 44 лл.		
12/21/2011	docbook	28	22	10141		41	21	of-10141-41	1.1(А)	"""Дарвинизм , зоология и школа в дни ВОВ"". Лекция для преподавателей - биологов , дважды прочитанная на Конференции педагогов Москвы в январе 1944 года . Текст лекции . + Программа лекции-доклада (1 л.) ."	полная	копия+ориг.	машинопись	1943 нояб.28;1944 дек.6	Т. II ;	февраль 1998 г.	
7/22/2015	ocr	11 лл.	57	12430		13	55	of-12430-13	1.1	"""Ф.К. Лоренц"". Речь Котса , посвящённая памяти Лоренца [на юбилей Моск. школы орнитологов] ."	полная	копия	машинопись	1959 авг.18	"в ед.хр. очерк о Лоренце , номерация ~ 3-18 лл. (неполный)"	февраль 1998 г.	
10/18/2013	docbook	28	58	10141		476	56	of-10141-476	1.1	"""О мимикрии в собственном смысле слова"". Рукопись статьи ."	полная	копия	машинопись	1959 сент.17	"Т. VI , гл. 11"	февраль 1998 г.	
2/9/2013	scanned	24 лл.	59		2116	619	57	nvf-2116-619	1.1	"""Чарльз Дарвин , его жизнь и учение в кратчайшем и конкретном изложении . (Применительно к выставке , посвящённой 100-летию дарвинизма)"". Рукопись статьи . Список иллюстраций к статье ."	неполная	копия	машинопись	[1959]	исправления в тексте	февраль 1998 г.	
1/31/2016	scanned	28	23		2116	343	21	nvf-2116-343	1.1(В)	"""Дарвинизм , зоология и школа в дни ВОВ"". Лекция для преподавателей - биологов , дважды прочитанная на Конференции педагогов Москвы в январе 1944 года . Текст лекции ."	полная	копия	машинопись	1944 декабря 6	Т. II ; 1 экз. основной + 1 экз. дубликат - 24 лл.		
9/19/2013	docbook	12	61	10141		544	59	of-10141-544	1.1	"""Фёдор Карлович Лоренц"". Рукопись статьи А.Ф. Котса ."	полная	копия	машинопись	[1961]		февраль 1998 г.	
12/21/2011	docbook	29 лл.	29	10141		40	27	of-10141-40	1.1	Вступительная лекция по зоологии .	полная	оригинал	машинопись	1947 февр.20	Т. II ; 1 экз. основной + 2 экз. дубликаты по 28 лл.+ 1 экз.черновик-30 лл.	февраль 1998 г.	
4/13/2014	docbook		63	10141		632	61	of-10141-632	1.1	"""Скромные частичные сомнения в одной великой аналогии"". (Материалы , касающиеся темы : ""Искуственный подбор""). Текст лекции ."	полная	копия	машинопись	1962 мая 1	Т. IV	февраль 1998 г.	
12/31/2015	ocr	24	64	10141		539	62	of-10141-539	1.1	"""Dem Andenken an ainen Grossen Naturforschers ...."". Рукопись статьи . (""Памяти великих естествоиспытателей , создавших современное учение об изменчивости и творце мутационной теории проф. Гуго де Фризе ...."")."	полная	оригинал	машинопись	1962 авг.14-15	нем.яз.	февраль 1998 г.	
12/21/2011	docbook	23 лл.	421	10141		11	402	of-10141-11	1.4(А)	"""О принципах оформления отделов дарвинизма в краеведческих музеях"". Доклад . Тезисы к докладу ."	полная	оригинал	машинопись	[до 1948]	"Т. I ; 1 экз.основной + 1 экз. дубликат, 26 лл."	май 1998 г.	
12/31/2015	ocr		66	10141		633	64	of-10141-633	1.1	"""О генезисе видовых отличий"" (К уточнению видовой проблемы) . Текст лекции ."	полная	копия	машинопись	1963 август	Т. IV ; 1 экз. основной + 1 экз. редакция 21 лл./оригинал/	февраль 1998 г.	
1/19/2012	scanned	21	406	10141		20	389	of-10141-20	1.4	"""О музейно-методических установках Гос. НИИ Краеведч. и Музейной работы"". Доклад . Тезисы к докладу ."	полная	копия	машинопись	1947 февраля 13	"Т. I ; 1 экз.основной + 2 экз.,неполных по 22 лл. в каждом экз."	май 1998 г.	
5/12/2013	docbook	20 лл.	68	10141		39	66	of-10141-39	1.1	"""К вопросу о преподавании зоологии в средней школе , (в обстановке малой оборудованности её наглядными пособиями)"". Лекция для педагогов . Основные положения к вопросу о преподавании зоологии ."	полная	копия	машинопись	б/г	Т. II ; 1 экз.основной + 3 экз. редакции по 18 лл. в каждом экз.	февраль 1998 г.	
1/23/2012	docbook	32	398	10141		6	384	of-10141-6	1.4(А)	"""Понятие музейных фондов"". Доклад в Институте Муз. Краеведческой работы , VI . 1944 . Тезисы к докладу ."	полная	оригинал	машинопись	1944 июнь	Т. I ; ОПУБЛИКОВАН	май 1998 г.	
3/17/2013	scanned	20 лл.	70		2116	337;719	67	nvf-2116-337;719	1.1(В)	"""Школьно-учебный формализм"" (О его симптомах , диагнозах , профилактике и терапии). Текст доклада .+ Десять заповедей для борьбы со школьным формализмом ."	полная	оригинал+копия	машинопись	б/г	Т.II		
7/21/2013	docbook	33 лл.	71	10141		46	68	of-10141-46	1.1	"""Великие биологи как самобытные характеры"". (""Чему нас могут научить примеры жизни выдающихся учёных ?"") . Лекция в ДМ для учащейся молодёжи . Текст лекции ."	полная	копия	машинопись	б/г	Т. II	февраль 1998 г.	
10/18/2013	docbook	1 л.	72	10141		77	69	of-10141-77	1.1	"""Величайший биолог - Чарльз Дарвин"". Текст лекции . Конспект лекции . Список иллюстраций к лекции ."	полная	копия	машинопись	б/г	Т. IV ; 1 экз. основной + 2 экз. дубликаты по 30 лл. в каждом экз.	февраль 1998 г.	
1/23/2012	docbook	77	410	10141		9	392	of-10141-9	1.4	"""О логических и методологических основах построения музейной экспозиции"". Статья в 2-х ч."	полная	оригинал	машинопись	[до 1948]	"1 экз.основной + 1 экз. дубликат, 74 лл."	май 1998 г.	
10/20/2013	scanned	38	74	10141		569	71	of-10141-569	1.1	"""Две основные кардинальные проблемы эволюционного учения"". (О процессе эволюции живых существ и реальной исторической их связи). Рукопись статьи ."	неполная	копия	машинопись	б/г		февраль 1998 г.	
7/21/2013	docbook	36	75	10141		463	72	of-10141-463	1.1	"""О великих вопрошателях природы"" /Аристотель , Р.Бэкон , Кеплер , Коперник и др./. Очерк . Иллюстрации к очерку ."	полная	копия	машинопись	б/г	"Т. IV , гл. 14 ; 12 ч/б фото"	февраль 1998 г.	
7/21/2013	docbook	18	76	10141		90	73	of-10141-90	1.1	"""Учение Дарвина в кратчайшем изложении"". Рукопись статьи . Перечень иллюстраций к статье ."	полная	копия	машинопись	б/г	"Т. IV , гл. 16"	февраль 1998 г.	
12/31/2015	ocr	16	77	10141		106	74	of-10141-106	1.1	"""О науке и культуре в отсвете победы Красной Армии"". Текст доклада ."	полная	копия	машинопись	б/г	страницы возм. перепутаны ; Т. V	февраль 1998 г.	
1/23/2012	docbook	19 лл.+ 1 л.	417	10141		13	399	of-10141-13	1.4(А)	"""Три параллели . Музеи Политехнический , Зоологический МГУ и Дарвиновский музей"". Аналитическая статья ."	полная	оригинал	машинопись	[до 1948]	Т. I ;	май 1998 г.	
1/23/2012	docbook	62	418		2116	383	399	nvf-2116-383	1.4(В)	"""Три параллели . Музеи Политехнический , Зоологический МГУ и Дарвиновский музей"". Аналитическая статья ."	полная+неполн.	копия	машинопись	[до 1948]	2 экз.		
1/23/2012	docbook	128	453	10141		14	430	of-10141-14	1.4	"""Что такое массовый музей и в чём его дискуссионность ?"". Статья + Абрис содержания ."	полная	копия	машинопись	б/г	"Т. I ; 1 экз.основной + 1 экз. дубликат, 128 лл."	май 1998 г.	
1/26/2012	scanned	2	39		6912	5	37	nvf-6912-5	1.1	"Речь на торжественном собрании Учёного Совета МГУ , посвящённом 140-летию со дня рождения Чарльза Дарвина ."	полная	копия	машинопись	1949 февр.14		февраль 1998 г.	
1/26/2012	scanned	14	224	12430		50	214	of-12430-50	1.2	"""Жизнь родной природы в отражении творчества большого мастера . Художник Алексей Никанорович Комаров и его работы для Дарвиновского музея /1930-1952/"". Фотоальбом ."	полная	копия	машинопись	[после 1952]	26 фотографий	апрель 1998 г.	
1/28/2012	docbook	6	423	10141		1	403	of-10141-1	1.4(А)	"""От автора"". Введение к тому музейно-методических работ ."	полная	копия	машинопись	1948 марта 20	Т. I	май 1998 г.	
1/17/2016	scanned	166	84	10141		484;642	81	eh-81	1.1	"""Ламаркизм"". Рукопись статьи ."	неполная	копия	машинопись	б/г	"2 экз.;листы возм. перепутаны ; Т. VI , гл. 13"	февраль 1998 г.	
1/28/2012	docbook	1 л.	424		2116	460	403	nvf-2116-460	1.4(В)	"""От автора"". Введение к тому музейно-методических работ ."	полная	оригинал	машинопись	1948 марта 20	"Т. I ; 1 экз.основной + 2 экз. редакции (5 лл.,6 лл.)"		
12/14/2013	docbook	13	86	12430		16	83	of-12430-16	1.1	"""О телеидии у млекопитающих и птиц"". Очерк ."	полная	копия	машинопись	б/г	"Т. VI , гл. 15"	февраль 1998 г.	
5/24/2015	docbook	25	87	10141		474	84	of-10141-474	1.1	"""О райских птицах"". Рукопись статьи ."	полная	копия	машинопись	б/г	"Т. VI , гл. 17 ; 1 экз. основной + 1 экз. дубликат 24 лл."	март 1998 г.	
1/30/2012	docbook	31	411	10141		16	393	of-10141-16	1.4	"""О современных массовых музеях в свете Бэконовой критики"". Очерк ."	полная	оригинал	машинопись	[до 1948]	"Т. I ; 1 экз.основной + 1 экз., черновик, 23 лл."	май 1998 г.	
7/22/2015	ocr	20	89	10141		481	86	of-10141-481	1.1	"""О нектарках"". Рукопись статьи ."	полная	копия	машинопись	б/г	"листы пронумерованы с 71 по 93 лл.; Т. VI , гл. 21"	март 1998 г.	
2/5/2012	scanned	9 лл.	60		6912	7	58	nvf-6912-7	1.1	Приветственное слово в подшефном Пушно-Меховом Холодильнике 29 апреля 1961 года .	полная	копия	машинопись	1961 апр.29		февраль 1998 г.	
10/18/2013	docbook		91	10141		468	88	of-10141-468	1.1	"""О диких голубях тропического леса"" (""Columbidae""). Рукопись статьи ."	полная	копия	машинопись	б/г	"Т. VI , гл. 23"	март 1998 г.	
12/31/2015	ocr	33	92	10141		483	89	of-10141-483	1.1	"""О попугаях"" (""Psittavi""). Рукопись статьи ."	полная	копия	машинопись	б/г	"Т. VI , гл. 24"	март 1998 г.	
2/5/2012	scanned	15	83	12430		15	80	of-12430-15	1.1	"""Об альбиносах и альбиноидах в свете дарвинизма"". Очерк ."	полная	копия	машинопись	б/г	"Т. VI , гл. 12 ; 1 экз. основной + 1 экз. дубликат 12 лл. (нет 1,14-го лл.)"	февраль 1998 г.	
2/5/2012	scanned	25	280	10141		57	268	of-10141-57	1.2	"""К истории Дарвиновского музея  /детские прелюдии/"". Воспоминания . /В документе материал о Ф.К.Лоренце/."	полная	копия	машинопись	б/г	"Т. III ; 1 экз.основной + 1 экз.дубликат, 24 лл.+ 1 экз.неполный, 14 лл."	апрель 1998 г.	
2/5/2012	scanned	14	485	10141		25	462	of-10141-25	1.5/1.4	"Методологический разбор брошюры : Н.Н. Плавильщиков , А.А. Яковлев , А.Г. Гиллер ""Экспозиция отделов природы краеведческих музеев""."	полная	оригинал	машинопись	1947 марта 12	"Т. I ; 1 экз.основной + 2 экз.,дубликаты по 12 лл. в каждом экз."	июнь 1998 г.	
2/5/2012	scanned	5	489	10141		21	466	of-10141-21	1.5	"Отзыв ""О книге Н.Н. Плавильщикова и И.В. Кузнецова : Руководство ""Собирание и изготовление зоологических коллекций"" /Гос. из-во культуры ; просветит. лит-ры/ М., 1950""."	полная	копия	машинопись	[нач. 1950-х]	"Т. I ; 1 экз.основной + 1 экз.,дубликат, 4 лл."	июнь 1998 г.	
2/12/2012	docbook	91	15	10141		34	15	of-10141-34	1.1	"""Проблемы обучения и воспитания в конкретно-методологическом их рассмотрении"". Рукопись cтатьи . /Памяти Кобылинской В.П. (1845-1906) посвящает автор/."	полная	копия	машинопись	1940	"Т. II ; 1 экз. основной + 2 экз. дубликаты, по 88 лл. в каждом экземпляре"	февраль 1998 г.	
2/12/2012	docbook	54	397	10141		10	383	of-10141-10	1.4	"""К теории и практике музейной экспозиции"". Принципы планировки вещного комплектования и экспонатуры в массовых музеях . Статья ."	полная	копия	машинопись	1944 апрель	"Т. I ; 1 экз.основной + 2 экз. редакции (54 лл., 55 лл.)"	май 1998 г.	
