"id","collection","dc.contributor.author[en]","dc.contributor.author[ru]","dc.creator[en]","dc.creator[ru]","dc.date.created","dc.description[ru]","dc.identifier.other[en]","dc.identifier.other[ru]","dc.language.iso[en]","dc.publisher[en]","dc.publisher[ru]","dc.subject[en]","dc.subject[ru]","dc.title[ru]","dc.type[en]","sdm-archive.date.cataloged","sdm-archive.date.digitized","sdm-archive.date.textExtracted","sdm-archive.misc.archive-date","sdm-archive.misc.authenticity","sdm-archive.misc.classification-code","sdm-archive.misc.classification-group","sdm-archive.misc.completeness","sdm-archive.misc.document-type","sdm-archive.misc.fond","sdm-archive.misc.inventoryGroup","sdm-archive.misc.notes","sdm-archive.misc.storageItem"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1939","ОФ-10141/630 ""Дарвинизм в свете Бэкона и Декарта"". [Лекция VII]. Текст лекции. Время создания: 1939. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: 1 фото (""Р.Декарт со скульптуры В. Домогацкого в ГДМ""); Т. IV, гл. 17.","Storage item 11 (inventory by Novikova N.A.)","Место хранения 11 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","""Дарвинизм в свете Бэкона и Декарта"". [Лекция VII]. Текст лекции","Text","2016-02-12","2012-02-07","2013-03-17","февраль 1998 г.","копия","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","полная","машинопись","ОФ-10141","Novikova","1 фото (""Р.Декарт со скульптуры В. Домогацкого в ГДМ""); Т. IV, гл. 17","11"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1939 осень","ОФ-10141/86 Из цикла лекций для педагогов ""Эволюционное учение и дарвинизм"". Лекция VIII : ""Всё ли приспособлено в живой природе ?"". Текст лекции. Время создания: 1939 осень. Полнота: неполная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: черновик; Т. IV, гл. 11.","Storage item 12 (inventory by Novikova N.A.)","Место хранения 12 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","Из цикла лекций для педагогов ""Эволюционное учение и дарвинизм"". Лекция VIII : ""Всё ли приспособлено в живой природе ?"". Текст лекции","Text","2016-02-12","2012-04-17","2016-01-31","февраль 1998 г.","копия","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","неполная","машинопись","ОФ-10141","Novikova","черновик; Т. IV, гл. 11","12"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1939","ОФ-10141/79 ""Эволюционное учение и дарвинизм"". (Краткий очерк в индуктивном и недогматичном изложении). Время создания: 1939. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: Т. IV, гл. 3.","Storage item 13 (inventory by Novikova N.A.)","Место хранения 13 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","""Эволюционное учение и дарвинизм"". (Краткий очерк в индуктивном и недогматичном изложении)","Text","2016-02-12","2012-05-22","2013-07-21","февраль 1998 г.","копия","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","полная","машинопись","ОФ-10141","Novikova","Т. IV, гл. 3","13"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1939 нояб.13","ОФ-10141/88 ""Чарльз Дарвин и происхождение видов"". Публичная лекция в Ленинской Аудитории 13 ноября 1939 года. Текст лекции. Время создания: 1939 нояб.13. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: Т. IV, гл. 13.","Storage item 14 (inventory by Novikova N.A.)","Место хранения 14 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","""Чарльз Дарвин и происхождение видов"". Публичная лекция в Ленинской Аудитории 13 ноября 1939 года. Текст лекции","Text","2016-02-12","2012-04-17","2013-10-16","февраль 1998 г.","копия","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","полная","машинопись","ОФ-10141","Novikova","Т. IV, гл. 13","14"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1940","ОФ-10141/34 ""Проблемы обучения и воспитания в конкретно-методологическом их рассмотрении"". Рукопись cтатьи. /Памяти Кобылинской В.П. (1845-1906) посвящает автор/. Время создания: 1940. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: Т. II; 1 экз. основной + 2 экз. дубликаты, по 88 лл. в каждом экземпляре.","Storage item 15 (inventory by Novikova N.A.)","Место хранения 15 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","""Проблемы обучения и воспитания в конкретно-методологическом их рассмотрении"". Рукопись cтатьи. /Памяти Кобылинской В.П. (1845-1906) посвящает автор/","Text","2016-02-12","2012-01-24","2012-02-12","февраль 1998 г.","копия","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","полная","машинопись","ОФ-10141","Novikova","Т. II; 1 экз. основной + 2 экз. дубликаты, по 88 лл. в каждом экземпляре","15"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1943 весна","ОФ-10141/38 ""К теории и практике работы лектора и педагога"" (Молодые мысли старого учёного). Рукопись статьи. Время создания: 1943 весна. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: Т. II; 1 экз. основной + 2 экз.- вспомогательные - 33 лл. и 36 лл.","Storage item 16 (inventory by Novikova N.A.)","Место хранения 16 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","""К теории и практике работы лектора и педагога"" (Молодые мысли старого учёного). Рукопись статьи","Text","2016-02-12","2012-01-24","2013-03-17","февраль 1998 г.","копия","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","полная","машинопись","ОФ-10141","Novikova","Т. II; 1 экз. основной + 2 экз.- вспомогательные - 33 лл. и 36 лл.","16"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1944 июня 16","ОФ-10141/92 ""Наука и учёные в произведениях и письмах Чехова"". Текст доклада. Тезисы доклада. Время создания: 1944 июня 16. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: правки в тексте; Т.V, гл.2; 1 экз. основной + 2 экз. дубликаты по 44 лл. в каждом экз.","Storage item 17 (inventory by Novikova N.A.)","Место хранения 17 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","""Наука и учёные в произведениях и письмах Чехова"". Текст доклада. Тезисы доклада","Text","2016-02-12","2012-02-28","2013-03-17","февраль 1998 г.","копия","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","полная","машинопись","ОФ-10141","Novikova","правки в тексте; Т.V, гл.2; 1 экз. основной + 2 экз. дубликаты по 44 лл. в каждом экз.","17"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1944 июля 4","ОФ-10141/93 ""Дарвин и Чехов"" (Дарвинизм и ""расизм"" в отражении чеховского творчества). Текст доклада. /Посвящается О.Л. Книппер-Чеховой/. Прочитанный в МГУ в ""Чеховские дни"", в 1954 г. Время создания: 1944 июля 4. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: Т. V, гл. 3 ;1 экз. основной + 1 экз. дубликат - 30 лл.","Storage item 18 (inventory by Novikova N.A.)","Место хранения 18 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","""Дарвин и Чехов"" (Дарвинизм и ""расизм"" в отражении чеховского творчества). Текст доклада. /Посвящается О.Л. Книппер-Чеховой/. Прочитанный в МГУ в ""Чеховские дни"", в 1954 г","Text","2016-02-12","2012-03-06","2013-05-12","февраль 1998 г.","копия","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","полная","машинопись","ОФ-10141","Novikova","Т. V, гл. 3 ;1 экз. основной + 1 экз. дубликат - 30 лл.","18"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1944 август","ОФ-10141/42 ""Война и школа"" (Как методически связать арену боя с классной комнатой ?). Речь на Конференции педагогов Свердловского р-на г.Москвы 6 января 1945 года. Тезисы. Время создания: 1944 август. Полнота: полная. Подлинность: копия+оригинал. Способ воспроизведения: машинопись. Примечания: Т. II; 1 экз. основной + 1 экз. дубликат - 33 лл.||НВФ-2116/338 ""Война и школа"" (Как методически связать арену боя с классной комнатой ?). Речь на Конференции педагогов Свердловского р-на г.Москвы 6 января 1945 года. Полнота: полная ?. Подлинность: копия. Примечания: Т. II; 1 экз. основной + 1 экз. редакция - 44 лл.","Storage item 19 (inventory by Novikova N.A.)","Место хранения 19 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","""Война и школа"" (Как методически связать арену боя с классной комнатой ?). Речь на Конференции педагогов Свердловского р-на г.Москвы 6 января 1945 года","Text","2016-02-12","2011-12-11||2011-12-06||2011-12-26","2011-12-21","февраль 1998 г.","копия+оригинал||копия","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","полная||полная ?","машинопись","ОФ-10141||НВФ-2116","Novikova","Т. II; 1 экз. основной + 1 экз. дубликат - 33 лл.||Т. II; 1 экз. основной + 1 экз. редакция - 44 лл.","19"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1944 сент.6","ОФ-10141/35 ""К вопросу о наглядности преподавания в средней школе"". Речь на Конференции преподавателей - биологов г.Москвы, перед началом учебного года 6 сентября 1944 года в аудитории ГПИ им. В.И. Ленина. Время создания: 1944 сент.6. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: в тексте лист с примеч.Котса ;Т. II;1 экз. основной+2 экз.дубликаты по 12 лл. в кажд.экз.","Storage item 20 (inventory by Novikova N.A.)","Место хранения 20 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","""К вопросу о наглядности преподавания в средней школе"". Речь на Конференции преподавателей - биологов г.Москвы, перед началом учебного года 6 сентября 1944 года в аудитории ГПИ им. В.И. Ленина","Text","2016-02-12","2016-01-31||2012-01-24||2016-01-26","2012-02-21","февраль 1998 г.","копия","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","полная","машинопись","ОФ-10141","Novikova","в тексте лист с примеч.Котса ;Т. II;1 экз. основной+2 экз.дубликаты по 12 лл. в кажд.экз.","20"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1943 нояб.28;1944 дек.6||1944 декабря 6","ОФ-10141/41 ""Дарвинизм, зоология и школа в дни ВОВ"". Лекция для преподавателей - биологов, дважды прочитанная на Конференции педагогов Москвы в январе 1944 года. Текст лекции. + Программа лекции-доклада (1 л.). Время создания: 1943 нояб.28;1944 дек.6. Полнота: полная. Подлинность: копия+ориг. Способ воспроизведения: машинопись. Примечания: Т. II;.||НВФ-2116/343 ""Дарвинизм, зоология и школа в дни ВОВ"". Лекция для преподавателей - биологов, дважды прочитанная на Конференции педагогов Москвы в январе 1944 года. Текст лекции. Время создания: 1944 декабря 6. Подлинность: копия. Примечания: Т. II; 1 экз. основной + 1 экз. дубликат - 24 лл.","Storage item 21 (inventory by Novikova N.A.)","Место хранения 21 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","""Дарвинизм, зоология и школа в дни ВОВ"". Лекция для преподавателей - биологов, дважды прочитанная на Конференции педагогов Москвы в январе 1944 года","Text","2016-02-12","2011-12-11||2011-12-06||2011-12-19||2016-01-26","2011-12-21","февраль 1998 г.","копия+ориг.||копия","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","полная","машинопись","ОФ-10141||НВФ-2116","Novikova","Т. II;||Т. II; 1 экз. основной + 1 экз. дубликат - 24 лл.","21"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1945 июня 29","ОФ-10141/631 ""Томас Генри Гексли. К полустолетию дня смерти (29.06.1985 - 29.06.1945)"". Текст лекции. Время создания: 1945 июня 29. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: Т. IV, гл.18; 1 экз. основной+2 экз. по 4 лл. в каждом экз./один из которых на англ.яз./.","Storage item 22 (inventory by Novikova N.A.)","Место хранения 22 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","""Томас Генри Гексли. К полустолетию дня смерти (29.06.1985 - 29.06.1945)"". Текст лекции","Text","2016-02-12","2012-02-07","2013-10-16","февраль 1998 г.","копия","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","полная","машинопись","ОФ-10141","Novikova","Т. IV, гл.18; 1 экз. основной+2 экз. по 4 лл. в каждом экз./один из которых на англ.яз./","22"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1945","ОФ-10141/36 ""О принципе согласованности в методах учебно - школьного преподавания"". Текст лекции. Время создания: 1945. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: правки в тексте; Т. II; 1 экз. основной + 2 экз. дубликаты - по 35 лл. в каждом экз.","Storage item 23 (inventory by Novikova N.A.)","Место хранения 23 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","""О принципе согласованности в методах учебно - школьного преподавания"". Текст лекции","Text","2016-02-12","2012-01-10","2012-02-21","февраль 1998 г.","копия","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","полная","машинопись","ОФ-10141","Novikova","правки в тексте; Т. II; 1 экз. основной + 2 экз. дубликаты - по 35 лл. в каждом экз.","23"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1945","ОФ-12430/3 ""Об аналогичной изменяемости (Дарвин) оперения домашних кур и выродков тетеревиных птиц"". (К проблеме о взаимной связи дарвинизма и генетики). Памяти Томаса Гексли, к пятидесят. со дня его кончины (29.06.1895-29.06.1945). Очерк. Время создания: 1945. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: исправления в тексте; Т. VI, гл. 9.","Storage item 24 (inventory by Novikova N.A.)","Место хранения 24 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","""Об аналогичной изменяемости (Дарвин) оперения домашних кур и выродков тетеревиных птиц"". (К проблеме о взаимной связи дарвинизма и генетики). Памяти Томаса Гексли, к пятидесят. со дня его кончины (29.06.1895-29.06.1945). Очерк","Text","2016-02-12","2011-12-20","","февраль 1998 г.","копия","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","полная","машинопись","ОФ-12430","Novikova","исправления в тексте; Т. VI, гл. 9","24"
+,"123456789/2165","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","Kohts (Coates), Alexander Erich","Котс, Александр Федорович","1945 дек.- 1946 янв.","ОФ-12430/4 ""Основы дарвинизма"". Краткий пояснительный текст к выставке передвижке на ту же тему. Время создания: 1945 дек.- 1946 янв. Полнота: полная. Подлинность: копия. Способ воспроизведения: машинопись. Примечания: 1 экз. основной + 1 экз. дубликат - 9 лл.(отсут. 6-ой лист).","Storage item 25 (inventory by Novikova N.A.)","Место хранения 25 (опись Новиковой Н.А.)","ru","State Darwin Museum","Государственный Дарвиновский Музей","Museology","Музейное дело","""Основы дарвинизма"". Краткий пояснительный текст к выставке передвижке на ту же тему","Text","2016-02-12","2012-10-16","","февраль 1998 г.","копия","1.1","Исследовательские и научно-популярные работы (статьи, очерки, речи, доклады, лекции)","полная","машинопись","ОФ-12430","Novikova","1 экз. основной + 1 экз. дубликат - 9 лл.(отсут. 6-ой лист)","25"
